,sents,labels
0,二百五十一; 九百七十三,1
12226,八百三; 九百五十二,1
12227,三百四十八; 六百九十三,1
12228,五百七十三; 七百四十一,1
12229,二百七; 三十二,0
12230,六百四十四; 四百二十一,0
12231,五百五十八; 四百五十五,0
12232,七百六十; 八十三,0
12233,五百四十一; 六百九十二,1
12234,六百八十八; 九百四十七,1
12235,二百; 九百九十七,1
12236,三百四十六; 二十二,0
12237,七百三十四; 七百六十八,1
12238,百五十二; 六百五十四,1
12239,二百; 七百二十一,1
12240,九百九十; 四百四十二,0
12241,百十八; 百三十五,1
12242,四百五十; 七百六十,1
12243,七百二十七; 百六十四,0
12244,五百十六; 三百十一,0
12245,八百十一; 九百七十七,1
12246,三百八十三; 五百三十九,1
12247,四百十五; 九百四十四,1
12248,八百四十九; 八百八十,1
12249,六百六十六; 二百三十三,0
12250,八百三十一; 五百三十,0
12251,五百十六; 二百七十一,0
12252,二百八十三; 二百九十八,1
12253,四百四十一; 四百五十三,1
12254,百十; 五百四十三,1
12255,四百六十七; 六百五十八,1
12256,五百二十六; 七,0
12257,三百八十三; 八百六十四,1
12258,五百四十三; 八百三十五,1
12259,八百七十一; 五百五十五,0
12260,三百四; 二百二十一,0
12261,五百四十五; 五百八十一,1
12262,四百九十三; 八百五十八,1
12263,七百八十九; 五百七十四,0
12264,九百九十一; 三百八,0
12265,三百三十一; 五百二十五,1
12266,九十一; 二百四十三,1
12267,六百三十四; 百七十一,0
12268,四百九十六; 六百四十八,1
12269,七百二; 三百二十,0
12270,二百四十五; 四百三十一,1
12271,六百三十八; 七百八十九,1
12272,四百十九; 六百九十八,1
12273,二百十; 二百二,0
12274,二百七十五; 八百十七,1
12275,七百五; 二百三十二,0
12276,二百二十; 七百三十九,1
12277,百七十五; 九百五十二,1
12278,六百三十一; 六百四十八,1
12279,二百六十三; 五百四十,1
12280,五百七十六; 四百九十二,0
12281,二百五十七; 六百三十三,1
12282,八百七十六; 五百八十二,0
12283,六百二; 三百八十,0
12284,二百十二; 九百二十七,1
12285,八百八十一; 五百五十七,0
12286,八百四十八; 四百五十一,0
12287,四百七十一; 五百五十三,1
12288,八百九十四; 四百二十四,0
12289,八百八十一; 百五十六,0
12290,百九十九; 四百四十六,1
12291,九百四; 六百二十七,0
12292,七百八十二; 七百七十九,0
12293,八百三十四; 二百二十四,0
12294,五百八十八; 七百四十五,1
12295,六百四十七; 二百二十,0
12296,三百四十一; 八百,1
12297,四百七十; 五百九,1
12298,百九十四; 五百十八,1
12299,百八十二; 三百九十四,1
12300,百十一; 八百九十,1
12301,九十五; 百七十二,1
12302,六百四十七; 六百三十五,0
12303,三百; 百九十六,0
12304,八百十四; 三百九十四,0
12305,五百九十一; 二百八十二,0
12306,百三; 五百三十四,1
12307,四百十八; 十,0
12308,七百六十四; 三百二十七,0
12309,五百三十一; 百五十九,0
12310,三百四十; 二百五十二,0
12311,五百三十八; 百八十二,0
12312,二百九十二; 七百四十五,1
12313,五百三十四; 九百二十五,1
12314,四百六十三; 九十五,0
12315,百七十二; 四百八十一,1
12316,五百二; 七百六十,1
12317,七百七; 五百八十一,0
12318,四百四十七; 百七十二,0
12319,九百十三; 五百十八,0
12320,六百二; 二百八十一,0
12321,二百四十二; 八百五十八,1
12322,五百三十六; 二百五十五,0
12323,四百四十四; 二百七十三,0
12324,二百七十六; 五百十八,1
12325,五百八十八; 六百三,1
12326,九百九十; 五百四十二,0
12327,七百六十一; 二十三,0
12328,六百七十; 八百八十八,1
12329,二百七十八; 八百七十五,1
12330,二百九十; 四百五十八,1
12331,二百八十一; 八百八十四,1
12332,三百九十九; 二百五十四,0
12333,五百二十四; 六百六十一,1
12334,六百八十二; 七百三十四,1
12335,七百五十八; 三百八十九,0
12336,三百五十四; 七百二十三,1
12337,四百二; 五百五十五,1
12338,四十一; 三百七,1
12339,七百七十八; 二百十三,0
12340,千; 五百六十,0
12341,五百四十; 七百八十三,1
12342,二百十四; 九百七十二,1
12343,四百四十; 三百三十五,0
12344,三百三; 百十三,0
12345,九百八十四; 三十六,0
12346,八百八十一; 三百四十五,0
12347,七百六十三; 九百五十七,1
12348,二百七十一; 七百十五,1
12349,九百八十; 五百八十四,0
12350,四百七十六; 五百九十,1
12351,七百二十二; 七十,0
12352,百八十一; 七百十七,1
12353,九百二十三; 四百十四,0
12354,六百七十五; 四百二十九,0
12355,五百八十七; 五百十二,0
12356,六百四十六; 七十四,0
12357,百五十六; 二百三十四,1
12358,九百三十二; 六百四十八,0
12359,三十八; 六百四十一,1
12360,九百二十六; 九百八十八,1
12361,九百八十一; 三百八十四,0
12362,三百十二; 三百六十九,1
12363,六百四十一; 二百十八,0
12364,二百八; 七十,0
12365,六十; 六百九十六,1
12366,七百六十五; 八百十一,1
12367,四百九十四; 七百四十九,1
12368,五百六十六; 五百十二,0
12369,八百四十七; 三百九,0
12370,百五十九; 八百七十一,1
12371,五百二十九; 三百四十七,0
12372,四百三十三; 三,0
12373,二百九十三; 八百二十五,1
12374,四百二十三; 二百二十六,0
12375,七百五十七; 七百十一,0
12376,九百十二; 五百五,0
12377,七百八十七; 百三十二,0
12378,六百八十五; 六百三十四,0
12379,百七十四; 七百十一,1
12380,四百十九; 九百五十,1
12381,二百三十六; 六百六十四,1
12382,五十二; 百四十,1
12383,九百九十五; 七百七十八,0
12384,五百三; 四百六十一,0
12385,八百十二; 三百十三,0
12386,五百五十五; 二百八十四,0
12387,百四十九; 五百三十七,1
12388,七百三十七; 百二十,0
12389,三百三十九; 二百十七,0
12390,百三十二; 二百一,1
12391,六百三十; 百九十八,0
12392,百五十七; 七百八十,1
12393,八百五十五; 八百十二,0
12394,五百十三; 四百九十二,0
12395,二百一; 五百二十七,1
12396,三百四十三; 四百八十,1
12397,百二十二; 八百四十六,1
12398,八百八十五; 七百五十三,0
12399,九百二十五; 四百三十一,0
12400,五十七; 六百五十,1
12401,九百七十五; 六百六十八,0
12402,六百八十一; 四百七十二,0
12403,七百八十四; 五百七十九,0
12404,二百六十二; 百五十四,0
12405,九百二十二; 七百九十一,0
12406,百十一; 三百二,1
12407,九百七十五; 五百七十一,0
12408,三百十七; 三百七十八,1
12409,六百六十; 七百八十一,1
12410,三百四十三; 五百八十七,1
12411,四百五十九; 六百六十四,1
12412,六百六十九; 八百七十三,1
12413,四百七十七; 七百六十一,1
12414,七百二十五; 六百三十七,0
12415,二百四十; 十八,0
12416,三百七十七; 六百八十二,1
12417,百四十五; 百五,0
12418,二十三; 四十六,1
12419,二百八; 四百,1
12420,百五十; 七百三十二,1
12421,二百二十五; 五百八十六,1
12422,三十; 六百四十六,1
12423,七百八十二; 百二十三,0
12424,二百六; 百五十一,0
12425,七百四十二; 九百八十一,1
12426,二百三十五; 百二,0
12427,百四十五; 九百七十一,1
12428,六百四; 四百三十一,0
12429,八百四; 九百六,1
12430,七十六; 十六,0
12431,百六十七; 八百八十八,1
12432,九百八十八; 七百十二,0
12433,三百二十九; 九百五十二,1
12434,二百三十; 三百五十九,1
12435,二百五十五; 八百三十二,1
12436,二百九十九; 四百一,1
12437,六十八; 百二十二,1
12438,六百二十四; 八百十二,1
12439,九百五十四; 二百五,0
12440,九百六十三; 八百七十三,0
12441,六十五; 二百二十九,1
12442,三百三十一; 百十七,0
12443,二百六十六; 九百八十二,1
12444,百七十六; 八百十一,1
12445,二百三十八; 二百四,0
12446,百八十二; 百四十七,0
12447,四百三十六; 百四,0
12448,十九; 五百八,1
12449,九百五十七; 七百七十八,0
12450,四百六十三; 九百五十八,1
12451,八; 六百七十一,1
12452,八百七; 七百六十六,0
12453,九百二十三; 八百七十三,0
12454,七百五十一; 二百五十三,0
12455,百二; 四百八,1
12456,四百九十四; 三十一,0
12457,百十六; 八十,0
12458,五百四十九; 百六十二,0
12459,三十六; 三百五十八,1
12460,三百五十九; 六百八十九,1
12461,四百四; 百二十九,0
12462,九百七十九; 四百一,0
12463,六百十六; 百五十六,0
12464,百六; 二百七十六,1
12465,七百; 三百九十三,0
12466,五百十六; 十二,0
12467,六百十; 三十二,0
12468,四百八十二; 三百十七,0
12469,五百二十四; 百六十二,0
12470,六百四十六; 八百七十一,1
12471,九百七十四; 三百八十四,0
12472,二百九十二; 六百三十四,1
12473,六百十四; 三十,0
12474,六百十二; 五百十四,0
12475,九百十三; 百七十七,0
12476,六百八十; 五百七十九,0
12477,九百六十二; 八百三十,0
12478,八百一; 百八,0
12479,五百四十; 三百四十八,0
12480,七百十一; 百三十一,0
12481,二百八十七; 六百九十七,1
12482,五百三十七; 八百四十四,1
12483,七百十七; 二百二十五,0
12484,八百五十七; 五百五十七,0
12485,五百九十八; 三百五十三,0
12486,九百二十二; 五百四十八,0
12487,六百六十九; 五十一,0
12488,六百九十三; 四百八十三,0
12489,三百五十三; 六百二十,1
12490,二百六; 七百九十二,1
12491,七百八十六; 二百四十一,0
12492,七百七十九; 六,0
12493,八百七十九; 百九十八,0
12494,八百五十一; 六百九十二,0
12495,五百十七; 二百九十,0
12496,二百五十三; 四百五十七,1
12497,二百七十四; 七百八,1
12498,四百五十二; 六百七十五,1
12499,三百三十四; 四百四十五,1
12500,三百四十八; 三百九十八,1
12501,四百二十七; 七百六十八,1
12502,二百四十二; 七十五,0
12503,五百五十一; 百五十八,0
12504,二百八十六; 五百二十八,1
12505,百三十七; 三百四十一,1
12506,六百五十三; 六十六,0
12507,四十六; 二百八,1
12508,九百九十七; 四百九十五,0
12509,七百十四; 四百九十五,0
12510,四百八十四; 百四十六,0
12511,九百六; 八百十九,0
12512,八百三十四; 三百八十六,0
12513,六百二十八; 三百八,0
12514,九百六十九; 四百六十二,0
12515,五百; 九百九十二,1
12516,三百十五; 二百四十一,0
12517,二百九十三; 百八十四,0
12518,六十三; 七百九十五,1
12519,四百二十四; 七百十九,1
12520,七百四十五; 八百七十五,1
12521,八百四十八; 十一,0
12522,九百二十一; 六十二,0
12523,七百一; 三百四十一,0
12524,七百二十八; 百八十一,0
12525,二百六十八; 九百十一,1
12526,百四十八; 八十七,0
12527,六百二十五; 九百七十八,1
12528,七百二十一; 七百八十五,1
12529,四百七十八; 百九十八,0
12530,六百八十四; 九百六十二,1
12531,十四; 八百二十九,1
12532,四百九; 八百五十,1
12533,六百八十四; 五百二十七,0
12534,九百五十; 六百十六,0
12535,六百九十六; 八百六十八,1
12536,四百四十八; 六百六,1
12537,五百七十三; 九百七十五,1
12538,四百十一; 四百四十,1
12539,九百四十一; 五百三十五,0
12540,二百四十六; 五百四十五,1
12541,八百三十九; 九百九十,1
12542,三百七十五; 八百八十四,1
12543,五百四十二; 七百九十四,1
12544,三百五十五; 二十一,0
12545,五百三十一; 七百四,1
12546,八百七十九; 百二十八,0
12547,百四十二; 四百十五,1
12548,六百八十; 七百五十八,1
12549,二百五十一; 二百二十五,0
12550,二百六十九; 九百四十五,1
12551,七百七十六; 九百二十四,1
12552,四十一; 百八十四,1
12553,六百三十四; 二十三,0
12554,五百二十; 四百七十七,0
12555,二百二十五; 九百八十六,1
12556,五百四十七; 二百四十六,0
12557,八百二十一; 六百九,0
12558,五百八十八; 三百六,0
12559,八百七十六; 六百六十三,0
12560,三百五十五; 三百四十四,0
12561,百三十六; 三百五十八,1
12562,七百八十五; 九百二十五,1
12563,百八十四; 六百三十,1
12564,二百四十二; 九百八十七,1
12565,百五十一; 二百八十,1
12566,百八十四; 三百六,1
12567,二百七十六; 四百六十四,1
12568,六百十五; 百七十五,0
12569,三百三十八; 八百九十八,1
12570,五百九十二; 六百五十,1
12571,八百九十三; 九百三十九,1
12572,二百八十一; 八百五,1
12573,七百二十八; 四,0
12574,七百十四; 六十一,0
12575,六百七十九; 八百二十五,1
12576,九百十四; 六百九十一,0
12577,六百十; 六百,0
12578,百五十四; 三百三十四,1
12579,三百五十五; 三百八十六,1
12580,八百五十三; 五百八十六,0
12581,五百四; 九,0
12582,百七十四; 七百九十八,1
12583,八十三; 九百七十四,1
12584,七百四十四; 五百三十一,0
12585,四百八十六; 五百八十六,1
12586,五百七十七; 百九十九,0
12587,六百九十八; 三百三十七,0
12588,五百三十五; 百八十,0
12589,百二十四; 百五十六,1
12590,七百三; 四百九十一,0
12591,三百六十七; 二百十二,0
12592,五百十九; 七百六十一,1
12593,十一; 百九十三,1
12594,三百六; 六百九十九,1
12595,二百五十五; 二百六,0
12596,二百十三; 七百六十,1
12597,五百六十三; 七百十,1
12598,百七十九; 八百八,1
12599,五百八十八; 二百八十二,0
12600,八百八十二; 五百九十,0
12601,百三十; 百六十二,1
12602,八百四十一; 二百六十二,0
12603,八百八十九; 八百六十三,0
12604,二十四; 八百七十一,1
12605,三百九十三; 五百六十五,1
12606,九百二十二; 百八十五,0
12607,二百六十八; 七十五,0
12608,百二十八; 二百三十七,1
12609,七百九十一; 三百二十五,0
12610,九百四; 六百五,0
12611,二百十八; 六百五十三,1
12612,百六; 百七十四,1
12613,九百二十九; 四十四,0
12614,百二十一; 七百九十九,1
12615,七百一; 五十二,0
12616,三百八十二; 八百五十,1
12617,十五; 八百七十一,1
12618,二十五; 四百五十八,1
12619,四十一; 四百八十四,1
12620,八百八十三; 三百三十一,0
12621,六百三十一; 九百十九,1
12622,二百二十五; 百二十六,0
12623,七百六十九; 四百六十五,0
12624,七百五十八; 百七,0
12625,八百八十七; 四百九十二,0
12626,五百二十八; 百五十二,0
12627,八十二; 七百六十,1
12628,六百十九; 三百十六,0
12629,二百七十二; 三百三十八,1
12630,八百七十; 二百六十九,0
12631,五百五十四; 四百八十六,0
12632,四百三十六; 五百三十八,1
12633,二百二十七; 六百四十四,1
12634,四百六十四; 九百四,1
12635,八百四十八; 八百五十,1
12636,五十; 三百四十一,1
12637,七百七十九; 四百九十九,0
12638,二百一; 六百十一,1
12639,二百七十四; 百七十四,0
12640,二百六十五; 百三十,0
12641,八百九; 六百六十九,0
12642,百九; 三百八十八,1
12643,九十二; 二百二十,1
12644,七百九十一; 五百七十九,0
12645,六百三十八; 九百五十,1
12646,四百八十五; 七百四十九,1
12647,十六; 八百三十二,1
12648,三十七; 百七十八,1
12649,七百七; 八百五十五,1
12650,七百七十一; 二百九十七,0
12651,九百五十一; 八百七十六,0
12652,七百九; 四百五十八,0
12653,六百四十九; 九百四十二,1
12654,五百五十一; 五十五,0
12655,三百一; 三百三十,1
12656,九百二十四; 六百十二,0
12657,八百二十二; 三十九,0
12658,三百十九; 五百九十五,1
12659,七百五十七; 二百一,0
12660,二百七十六; 四百二,1
12661,六百四十; 百三十一,0
12662,九百二十四; 百一,0
12663,百二十二; 四百四十九,1
12664,四百十八; 百七十,0
12665,四百二十二; 六百九十七,1
12666,六百五十七; 八百五十一,1
12667,四百六十八; 二百九,0
12668,四百十四; 八百三十,1
12669,六百三十七; 三百九十六,0
12670,三百三十七; 四百四十五,1
12671,八百四; 八十,0
12672,二百六十; 七百六十四,1
12673,九百五十九; 七十四,0
12674,二百十; 七百二十三,1
12675,九百六十七; 百八十一,0
12676,二百七十; 二百二十一,0
12677,六百八十二; 百七,0
12678,六十一; 八百五十一,1
12679,四百三十六; 七百四十四,1
12680,七百二; 二百七十四,0
12681,十二; 七百四十八,1
12682,七百五十一; 九百二十,1
12683,五百二十; 八百八十八,1
12684,五百八十九; 二百十六,0
12685,七百六十; 百三十四,0
12686,五百十二; 八百六十,1
12687,八百四十四; 六百六十六,0
12688,五百八十九; 六百八十七,1
12689,五百三十九; 七百六十八,1
12690,二百十三; 百七十九,0
12691,十五; 六百五十五,1
12692,七百三十一; 百七十九,0
12693,九百五十四; 八百三十二,0
12694,百二十二; 五百三,1
12695,三百二十; 三百五十九,1
12696,四百二; 四百五十八,1
12697,百五十七; 三百九十三,1
12698,八百十四; 八百二十七,1
12699,七百五十五; 九百九十八,1
12700,九百; 百五十八,0
12701,八百四十二; 六百七十七,0
12702,五百五; 八百三十八,1
12703,七百四十八; 百五十七,0
12704,七百六十八; 六百三十六,0
12705,六十四; 九,0
12706,百九十五; 七百十一,1
12707,四百二十五; 百七十六,0
12708,百六十七; 八百十一,1
12709,六百九; 十三,0
12710,九百五十六; 二百四十九,0
12711,八百十八; 三百十五,0
12712,七百九十三; 九十九,0
12713,六百九十四; 三百六十七,0
12714,二百九十八; 二百八十一,0
12715,四百二十四; 四百六十三,1
12716,五百六十六; 三百五十九,0
12717,三百五十六; 八十三,0
12718,三百四十六; 二百二十一,0
12719,二百九十二; 八百五,1
12720,三百一; 三百十,1
12721,七十; 六百十九,1
12722,六百二十; 八百五十,1
12723,二百三十一; 四百五十九,1
12724,六百八十八; 二百三十七,0
12725,五百九十五; 五百三十,0
12726,六百六十二; 七十三,0
12727,四百六十八; 百八,0
12728,九百七十五; 百十,0
12729,百六十六; 八百十一,1
12730,百三十三; 九百二十二,1
12731,百四; 六百三十二,1
12732,五百七十六; 百二十三,0
12733,百三; 二百九十一,1
12734,二百九; 九百八十四,1
12735,五; 九百六十八,1
12736,二百十三; 六百七十二,1
12737,三百二十六; 四十七,0
12738,九百四十七; 六十一,0
12739,八百五十七; 六百八十,0
12740,八百八十一; 四百九十八,0
12741,二十四; 九百八十九,1
12742,二十; 六百七十八,1
12743,八百八十六; 六百五十一,0
12744,九百十一; 七百九十二,0
12745,五百九十七; 四百九十二,0
12746,六百二十二; 八百二十二,1
12747,三百四十四; 六百四十四,1
12748,九百十八; 五十九,0
12749,九百六十五; 三百二十一,0
12750,百五十二; 四百十五,1
12751,八百十七; 百十二,0
12752,五; 十四,1
12753,百九十七; 七百九十,1
12754,五百五十九; 九百六十六,1
12755,五百六十五; 二百六十三,0
12756,四百二十三; 九百二十四,1
12757,三百三十; 三百四十三,1
12758,八百七十二; 三百三十九,0
12759,百三十一; 五百八十六,1
12760,六百五十八; 七百六十,1
12761,八百五十二; 六百二十三,0
12762,百五十四; 三百三十九,1
12763,六百八十九; 三百十六,0
12764,六百五十一; 二百七十三,0
12765,三百十四; 六十,0
12766,七百十; 七百七十三,1
12767,三百八十五; 四十四,0
12768,十七; 八十七,1
12769,九百九十五; 五百四,0
12770,六百八十二; 七百二十五,1
12771,九百三十二; 三百三十六,0
12772,三百八十; 百,0
12773,八百六十六; 三百二十三,0
12774,三十九; 八百四十三,1
12775,七十三; 四百六十一,1
12776,六百四十一; 七百四十一,1
12777,八百八十五; 百七十,0
12778,九百二十二; 九百四十三,1
12779,五百; 九百九十七,1
12780,二百四十八; 九百十五,1
12781,四百二十; 四百七十五,1
12782,四十四; 八十九,1
12783,三十六; 七百四,1
12784,百三十八; 八百七十五,1
12785,六百四十六; 九百六十七,1
12786,四百五; 九百五十七,1
12787,二百十; 九百,1
12788,三百四十二; 六百六十四,1
12789,九百二十; 二百八十一,0
12790,三十三; 六百二十一,1
12791,五百二十四; 四十四,0
12792,八百九十四; 九十,0
12793,七百九十四; 五百七十六,0
12794,五; 六百六十八,1
12795,九百二十五; 八百四十七,0
12796,九百五十六; 五百三十四,0
12797,九百七十九; 二百十一,0
12798,五百二十八; 九百,1
12799,二百五十九; 五百八十一,1
12800,九百八十七; 二百四十六,0
12801,百九十七; 三百五十一,1
12802,二百八十; 八百七十一,1
12803,四百九十四; 五百四十八,1
12804,二百十七; 百八,0
12805,四百二十三; 五百六十八,1
12806,六百五十二; 百九十,0
12807,三百九十五; 六百十六,1
12808,三百十五; 八百六十,1
12809,四百六十四; 五十五,0
12810,百六十三; 八百三十,1
12811,六百九十一; 五百十六,0
12812,二百二十九; 七百八十,1
12813,九百四; 六百五十二,0
12814,七百四十五; 三百三十三,0
12815,七百二十三; 六百四十四,0
12816,二百二十二; 四百四十七,1
12817,四百四十; 四,0
12818,四百五; 二百一,0
12819,百十九; 百六十八,1
12820,三百九十一; 九百六十一,1
12821,六百七十二; 四百六十四,0
12822,六百九十五; 五百四十七,0
12823,十二; 三百七十七,1
12824,百八十六; 三十七,0
12825,五百四十七; 六百三十五,1
12826,六百五; 五百二,0
12827,十二; 九百,1
12828,二百十七; 二百八十五,1
12829,六百五十八; 五百七十七,0
12830,三百四十五; 二百二十九,0
12831,二; 九百六十七,1
12832,九十七; 百二十二,1
12833,二百十; 六百五十七,1
12834,四百二十六; 六百七十四,1
12835,九百二十四; 八百二十一,0
12836,八百五十六; 二百六十四,0
12837,八百八十九; 三十九,0
12838,二百四十九; 九百七十五,1
12839,三百七十五; 三百六十九,0
12840,三百三十四; 四百八十九,1
12841,三百五十三; 三百六十六,1
12842,九十; 二百九十六,1
12843,五百十四; 三百八十二,0
12844,四十七; 二百七十一,1
12845,九百二十四; 四百七十二,0
12846,百三十一; 二百七十一,1
12847,九百六十二; 三百九十七,0
12848,五十八; 三百七十七,1
12849,百七; 四百十九,1
12850,三百五十九; 百十九,0
12851,九百二十八; 八百七十一,0
12852,七百二十四; 六百九,0
12853,三百九十五; 百四十六,0
12854,二百一; 八百四十一,1
12855,五十三; 四百五十四,1
12856,八百二十; 六百四十七,0
12857,三百十四; 百五十七,0
12858,五百五十; 百六十二,0
12859,七百八十一; 六百九十四,0
12860,六百七十五; 二百五十二,0
12861,六百五十五; 三百八十七,0
12862,九百七十七; 三百八十,0
12863,八百三十二; 二百五十四,0
12864,三百十一; 百五十六,0
12865,八百六十四; 二百七十八,0
12866,百四十九; 百七十,1
12867,四百十一; 二百六十九,0
12868,三百九; 二百七十三,0
12869,二百十四; 八百八十一,1
12870,二百七十二; 七百六十八,1
12871,八百一; 五百八,0
12872,七十五; 三百八十四,1
12873,三百五十四; 三百九十三,1
12874,九百五十七; 九百七十五,1
12875,二百四十二; 百三十四,0
12876,四百三十九; 七百十,1
12877,五百九十二; 六百四十一,1
12878,四百八十; 六百五十,1
12879,四百十五; 八百,1
12880,六百二十六; 四百四十,0
12881,二百四十六; 六百八十六,1
12882,八百四十七; 三百四十八,0
12883,五百十九; 三十四,0
12884,八十四; 六百三十,1
12885,七百五十四; 八百三,1
12886,九百八十七; 九百三十六,0
12887,九百十四; 八百一,0
12888,四百四十一; 百八十二,0
12889,五百三十四; 五百八十九,1
12890,三百三十八; 七百九十二,1
12891,七百四十四; 六百九十四,0
12892,八百九十三; 五百五十四,0
12893,四百八十六; 五百六十九,1
12894,九百三; 七百八十一,0
12895,六百七十五; 九百十五,1
12896,五百十七; 五百二,0
12897,七百八十五; 九百十九,1
12898,九十; 三百十三,1
12899,三百四十七; 三百二十七,0
12900,六百十一; 百五十三,0
12901,六百五十四; 二百二,0
12902,百七十八; 十一,0
12903,百四十九; 七百八十七,1
12904,三百八十五; 四百三,1
12905,二百九十三; 六百七十五,1
12906,二百一; 九百五,1
12907,六十七; 三百六十七,1
12908,四百四十五; 六十一,0
12909,九百九十三; 九百八,0
12910,二百十三; 四百二十五,1
12911,九十六; 七百六十九,1
12912,四十六; 百二十七,1
12913,六十四; 二百九十,1
12914,三百六十八; 二百七十六,0
12915,六百十四; 八十二,0
12916,三百三十三; 六百九十四,1
12917,八百七十一; 百四,0
12918,六百九; 九百二十二,1
12919,三百五十一; 七百五十三,1
12920,七百五十四; 二百三十二,0
12921,二百十; 九百六十,1
12922,九百五十九; 八百八十,0
12923,八百五十三; 四百七十,0
12924,三; 九百三十八,1
12925,八十三; 四百四十三,1
12926,八百五十四; 四百三十七,0
12927,百三十八; 四百五十九,1
12928,五十八; 三百八十九,1
12929,九百三十二; 七百八十七,0
12930,九百五十二; 七百五十三,0
12931,七百七十五; 二百二十七,0
12932,六百三十四; 五百五十九,0
12933,八百四十; 二百十,0
12934,六百十; 九十九,0
12935,八百三十一; 七百七十四,0
12936,四百五十九; 三百三十七,0
12937,三百九; 八百七十四,1
12938,二百六十九; 百二,0
12939,七百七十五; 百八十七,0
12940,六百二十二; 百八十,0
12941,百三十一; 四百四十七,1
12942,六百四十三; 九百四十九,1
12943,二百四十二; 二百六十六,1
12944,五十二; 二百十,1
12945,六百四; 六百七十一,1
12946,八百四十三; 四百五十五,0
12947,四百三十五; 七百五十一,1
12948,九十; 六百二十六,1
12949,四百五; 六百八十三,1
12950,六百五十六; 三百六,0
12951,八百六十六; 二百七,0
12952,百五十一; 六百八十九,1
12953,六百九十九; 七百六十五,1
12954,九百八十; 五十七,0
12955,五百二十七; 四百六十四,0
12956,六百八十二; 九百八十九,1
12957,三百一; 八百六十三,1
12958,六十四; 八百七十三,1
12959,百五十; 七百五十二,1
12960,五百六十八; 百五,0
12961,七十三; 五百七十九,1
12962,九百八十三; 四百五十四,0
12963,百七十; 四十五,0
12964,五百六十; 二百七十六,0
12965,九十二; 三百四十五,1
12966,八百九十七; 七百三十九,0
12967,三百五十七; 三百七十三,1
12968,五百三十七; 五百八十七,1
12969,三百二十八; 五百六十八,1
12970,四百三十四; 三百二十二,0
12971,九百十五; 九百三十五,1
12972,四百七十九; 八百十七,1
12973,七百七十八; 七百九十四,1
12974,四百三十二; 二百二十三,0
12975,四百九十八; 六百五十九,1
12976,二百二十一; 六百五十八,1
12977,四百八十四; 二十九,0
12978,六百五十一; 六百十八,0
12979,九百六十四; 十三,0
12980,四百七十五; 三百五十四,0
12981,四百四; 六百四十八,1
12982,八百九十; 七百六十八,0
12983,五百五十六; 六百七十三,1
12984,八百八; 三百七十九,0
12985,七百五十四; 六百八,0
12986,六百四十三; 百八十,0
12987,三百三十; 二百七十七,0
12988,百六; 九百九,1
12989,百五; 百九十六,1
12990,二百五十九; 二百二十,0
12991,百四十七; 四百四十三,1
12992,五百六十七; 四百四十一,0
12993,九百七十八; 九十,0
12994,百十二; 四百五十九,1
12995,九百三; 三百四十八,0
12996,六百四十三; 十三,0
12997,六百六十二; 三百一,0
12998,四百三十一; 八百九,1
12999,三百八十一; 七百九,1
13000,十三; 七十五,1
13001,六百七十一; 四百八十一,0
13002,二百八十八; 九百八,1
13003,四十九; 百八十七,1
13004,七百八十三; 百九,0
13005,三百五十二; 八百八十八,1
13006,三百二十; 四百二十四,1
13007,四十三; 二,0
13008,二百四十三; 七百二十五,1
13009,八百四十五; 二百九十八,0
13010,七百三十五; 九百四十六,1
13011,九百五十九; 二百三十三,0
13012,五百七十八; 五百四,0
13013,四十一; 四百五十五,1
13014,七百八十六; 七百二十六,0
13015,七百六十四; 三百八十一,0
13016,百十五; 二百二,1
13017,八百七十六; 五十三,0
13018,三百八十; 二百三十四,0
13019,二; 三百八十七,1
13020,六百十三; 三百六,0
13021,九十一; 三十,0
13022,百四十; 六百四十八,1
13023,五; 五百七十五,1
13024,三十; 三百十七,1
13025,百二十八; 九百三十三,1
13026,二百二十七; 二百十,0
13027,九百五十七; 三百七十五,0
13028,八百二十九; 五百六十五,0
13029,百三十; 五百六十一,1
13030,七百四十七; 二百十二,0
13031,百八十四; 七百三十,1
13032,七百十二; 四百一,0
13033,七百九十; 九百八十九,1
13034,八百四十二; 四百二十九,0
13035,九百九十七; 六百四十五,0
13036,百六; 六百十三,1
13037,八百六; 六百七十四,0
13038,八十七; 八百二十五,1
13039,二百三; 五百五十二,1
13040,九百三十八; 百六十八,0
13041,六百九十四; 九百四十一,1
13042,三百七十三; 九百三十九,1
13043,七百十二; 五百四十二,0
13044,八百八十三; 二百九十五,0
13045,六百一; 三百二十,0
13046,八百七十七; 二百三十二,0
13047,二百四十三; 二百二十五,0
13048,九百六十七; 三百九十九,0
13049,五百六十三; 四百三,0
13050,三百八; 五百八十三,1
13051,五; 二百四十七,1
13052,五百三十九; 七百三十二,1
13053,四百七十六; 二百六十七,0
13054,七百三十七; 八百三十七,1
13055,二百六; 四百三十六,1
13056,七百九十五; 百四,0
13057,三百三十二; 三百五十六,1
13058,四百三; 三百三十二,0
13059,八百七十; 二百四十四,0
13060,七百七十六; 九百七十九,1
13061,百七十二; 七百十六,1
13062,二百十六; 八百九十九,1
13063,四百八十六; 九百七十五,1
13064,八百八; 四百六十七,0
13065,三百二十八; 七百六十五,1
13066,六十五; 七百六十一,1
13067,四百三十六; 五十五,0
