,sents,labels
0,huit cent soixante douze; trois cent quarante huit,0
10077,neuf cent neuf; trois cent vingt six,0
10078,deux cent quarante cinq; cent un,0
10079,deux cent quatre vingt dix neuf; neuf cent quatre vingt treize,1
10080,trois; neuf cent onze,1
10081,six cent quarante et un; cent quatre vingt cinq,0
10082,trois cent quarante trois; six cent treize,1
10083,quatre cent soixante quinze; neuf cent soixante treize,1
10084,trois cent treize; cent cinq,0
10085,sept cent trente cinq; cinq cent quatorze,0
10086,huit cent soixante six; huit cent cinquante cinq,0
10087,huit cent dix huit; cent trente cinq,0
10088,cinq cent soixante trois; sept cent quatre vingt neuf,1
10089,soixante trois; deux cent soixante quatre,1
10090,huit cent trente sept; six cent soixante quatre,0
10091,neuf cent dix sept; quatre vingt dix,0
10092,quatre cent trois; trois cent vingt huit,0
10093,vingt huit; deux cent neuf,1
10094,neuf cent vingt; neuf cent un,0
10095,deux cent trente cinq; six cent soixante seize,1
10096,trois cent quarante huit; cent,0
10097,six cent trente six; trois cent vingt deux,0
10098,trois cent quatre vingt quatorze; cinq cent trente deux,1
10099,vingt quatre; cinq cent trente trois,1
10100,trois cent vingt huit; sept cent trois,1
10101,cinq cent soixante dix huit; sept cent vingt cinq,1
10102,deux cent quatre vingt dix; sept cent quarante cinq,1
10103,huit cent dix huit; deux cent soixante quinze,0
10104,deux cent quatre vingt neuf; neuf cents,1
10105,cent quarante cinq; cent deux,0
10106,trois cent quatre vingt quatre; cent soixante dix,0
10107,deux cent six; trois cent soixante cinq,1
10108,vingt deux; trente huit,1
10109,cinq cent quarante deux; trois cent quatre vingt trois,0
10110,huit cent dix huit; sept cent quarante trois,0
10111,trois cent soixante dix huit; six cent trente quatre,1
10112,neuf cent quatre vingt trois; huit cent cinquante deux,0
10113,soixante douze; trois cent trente deux,1
10114,neuf cent dix; huit cent dix sept,0
10115,six cent trente deux; sept cent un,1
10116,quatre cent soixante quatorze; huit cent quarante quatre,1
10117,sept cent vingt huit; cent soixante neuf,0
10118,quatre cent quarante neuf; cinq cent quarante six,1
10119,cinq cent quatre vingt trois; trois cent quatre vingt dix sept,0
10120,neuf cent soixante six; sept cent vingt quatre,0
10121,six cent quatre vingt trois; huit cent six,1
10122,cent vingt cinq; trois cent deux,1
10123,cinq cent cinquante trois; sept cent quatre vingt quinze,1
10124,huit cent quatre vingt quinze; neuf cent vingt deux,1
10125,trois cent trente six; quatre cent trente et un,1
10126,quatre cent soixante huit; deux cent trente cinq,0
10127,cent douze; quatre cent quarante cinq,1
10128,trois cent soixante trois; cent soixante douze,0
10129,trois cent quatre vingt quinze; six cent quatre vingt dix huit,1
10130,cinq cent soixante dix; quatre cent vingt cinq,0
10131,cinquante quatre; sept cent soixante et un,1
10132,deux cent vingt trois; trois cent cinquante,1
10133,deux cent soixante trois; cinq cent cinquante sept,1
10134,sept cent quarante quatre; deux cent quarante huit,0
10135,huit cent dix sept; quatre cent vingt huit,0
10136,quatre cent quatre vingt un; trois cent cinquante deux,0
10137,six cent quatre vingt deux; cinq cent quarante trois,0
10138,deux cent six; six cent cinquante et un,1
10139,sept cent trente sept; trois cent dix huit,0
10140,quatre cent quarante quatre; cinq cent un,1
10141,six cent huit; huit cent quarante trois,1
10142,deux cent cinquante cinq; sept cent soixante quatre,1
10143,trente cinq; six cent quatre vingt dix neuf,1
10144,sept cent cinquante six; deux cent quatre vingt dix sept,0
10145,quatre cent quatre vingt onze; quatre cent trente huit,0
10146,soixante dix neuf; quatre cent cinquante,1
10147,quatre cent soixante douze; neuf cent cinquante quatre,1
10148,six cent huit; cent quatre vingt quatre,0
10149,huit; huit cent seize,1
10150,huit cent soixante; neuf cent trente trois,1
10151,soixante; deux cent quatre vingts,1
10152,douze; six cent cinquante trois,1
10153,trois cent trois; neuf cent un,1
10154,six cent vingt quatre; quatre cent quatre vingt quatre,0
10155,sept cent cinquante six; six cent quarante deux,0
10156,trois cent quinze; huit cent cinquante et un,1
10157,deux cent un; deux cent dix neuf,1
10158,trois cent quatre vingt dix huit; six cent quarante sept,1
10159,deux cent vingt huit; cinq cent quatre vingt dix sept,1
10160,deux cent quatre vingt onze; huit cent dix,1
10161,quatre cent soixante quatre; trois cent quatre vingt deux,0
10162,deux cent seize; vingt cinq,0
10163,sept cent vingt huit; cinq cent quatre vingt cinq,0
10164,deux cent dix neuf; cinq cent trente neuf,1
10165,six cent soixante quatorze; cent cinquante deux,0
10166,sept cent cinquante six; deux cent trente six,0
10167,sept cent quatre vingt quatre; deux cent quatre vingt six,0
10168,cinq cent trente et un; neuf cent dix sept,1
10169,six cent soixante et un; neuf cent soixante quinze,1
10170,trois cent quatre vingt un; neuf cent quatre vingt huit,1
10171,huit cent soixante quinze; trois cent soixante neuf,0
10172,cent quinze; huit cent cinquante trois,1
10173,neuf cent trente et un; cinq cent soixante et onze,0
10174,quarante cinq; soixante huit,1
10175,quatre cent quatre vingt dix huit; huit cent trente huit,1
10176,cent trente quatre; huit cent cinquante et un,1
10177,huit cent quinze; six cent quarante,0
10178,cent soixante trois; cinq cent trente huit,1
10179,six cent quarante huit; huit cent trente sept,1
10180,cinq cent trente trois; cinq cent trente huit,1
10181,quatre cent cinquante neuf; deux cent cinq,0
10182,trente trois; quatre cent quatre vingt onze,1
10183,trois cent quatre vingt dix huit; sept cent soixante dix,1
10184,quatre cent soixante dix huit; cinq cent quatre vingt onze,1
10185,neuf cent soixante quatorze; huit cent quarante six,0
10186,sept cent quatre vingt quinze; trois cent soixante et un,0
10187,cinq cent quatre vingt quatre; soixante six,0
10188,quatre vingt dix neuf; cent soixante,1
10189,huit cent seize; cinq cent trente neuf,0
10190,sept cent quatre vingt quatre; cinq cent dix,0
10191,cent soixante quatorze; neuf cent trente neuf,1
10192,trois cent soixante dix neuf; huit cent vingt deux,1
10193,trois cent quatre vingt un; cinq cent soixante douze,1
10194,quatre cent trente et un; huit cent quarante deux,1
10195,huit cent soixante dix sept; quatre cent seize,0
10196,cent vingt trois; trois cent soixante dix,1
10197,huit cent quatre vingts; huit cent cinquante quatre,0
10198,cinq cent trente deux; huit cent dix neuf,1
10199,trois cent quatorze; cent cinquante sept,0
10200,soixante seize; quatre cent sept,1
10201,six cent quatre vingt treize; sept cent quatre vingt un,1
10202,cinq cent vingt; trois cent quatorze,0
10203,cinq cent sept; quatre cent quatre vingt douze,0
10204,six cent trente deux; quatre cent treize,0
10205,cinq cent quatre vingt quatorze; trois cent quatre vingt dix huit,0
10206,quatre cent soixante sept; quatre vingt douze,0
10207,cinq cent soixante deux; huit cent soixante quinze,1
10208,cinq cent soixante dix; deux cent quatre vingt neuf,0
10209,sept cent vingt deux; quatre cent quatre vingt dix sept,0
10210,trois cents; neuf cent quatre vingt sept,1
10211,six cent cinquante; trois cent quatre vingt douze,0
10212,trois cent soixante six; huit cent quatre vingt neuf,1
10213,dix huit; quatre cent quatre vingt un,1
10214,vingt quatre; deux cent soixante deux,1
10215,sept cent quarante sept; six cent trois,0
10216,cent soixante trois; cent quatre vingt quatre,1
10217,quatre vingt quatorze; trois cent onze,1
10218,huit cent vingt; six cent douze,0
10219,quatre cent quarante deux; cinq cent quatre vingt huit,1
10220,neuf cent soixante dix neuf; quarante six,0
10221,huit cent vingt quatre; huit cent soixante dix neuf,1
10222,sept cent vingt quatre; deux cent soixante,0
10223,huit cent soixante treize; neuf cent sept,1
10224,trois cent cinquante quatre; quarante cinq,0
10225,trois cent cinquante deux; sept cent vingt deux,1
10226,sept cent treize; cent quatre vingt deux,0
10227,quatre cent cinquante huit; deux cent quatorze,0
10228,cent cinquante sept; cinq cent neuf,1
10229,huit cent soixante; neuf cent quatre vingt cinq,1
10230,deux cent trente sept; deux cent quatre vingt quinze,1
10231,six cent quatre vingt dix huit; huit cent vingt neuf,1
10232,neuf cent trente neuf; huit cent soixante trois,0
10233,deux cent quatre vingt cinq; cent quatre vingt cinq,0
10234,sept cent vingt quatre; cinq cent vingt cinq,0
10235,quatre vingt trois; cent trente,1
10236,quatre cent soixante seize; trois cent quatre vingt dix neuf,0
10237,sept cent vingt; neuf cent quarante huit,1
10238,cent quatre vingt six; trois cent soixante neuf,1
10239,huit cent soixante et onze; sept cent cinquante huit,0
10240,cinq cent quatre vingt dix; cinq cent dix,0
10241,trois cent vingt deux; sept cent quatre vingt dix sept,1
10242,huit cent quatre vingt quatorze; deux cent soixante dix sept,0
10243,quatre cent quatre vingt dix neuf; trois cent dix sept,0
10244,cent trente; sept cent sept,1
10245,huit cent soixante seize; cent quarante six,0
10246,cent cinquante deux; six cent quarante cinq,1
10247,neuf cent vingt sept; neuf cent quatre vingt seize,1
10248,quatre cent quatre vingt six; cinq cent quatre vingt dix sept,1
10249,trois cent quatorze; six cent deux,1
10250,sept cent quatre vingt onze; neuf cent quatre vingt treize,1
10251,deux cent quatorze; deux cent trente et un,1
10252,cent quatre vingt neuf; huit cent soixante dix sept,1
10253,trois cent soixante dix huit; neuf cent quatre vingt onze,1
10254,cinq cent quarante deux; neuf cent trois,1
10255,soixante treize; trois cent soixante dix neuf,1
10256,deux cent soixante quinze; vingt sept,0
10257,sept cent quarante; huit cent huit,1
10258,dix huit; neuf cent soixante cinq,1
10259,sept cent dix neuf; six cent soixante deux,0
10260,six cent quatre vingt sept; cinq cent soixante cinq,0
10261,trois cent trente cinq; trois cent soixante quinze,1
10262,cinq cent quatre vingt dix huit; deux cent vingt sept,0
10263,sept cent quatre; cinq cent quatre vingt douze,0
10264,trois cent vingt quatre; trois cent soixante et onze,1
10265,quatre cent vingt cinq; trois cent quatre vingt treize,0
10266,quatre vingt huit; huit cent quarante quatre,1
10267,quarante six; deux cent soixante et onze,1
10268,trente trois; six cent quatre vingt neuf,1
10269,trois cent cinquante six; deux cent quatre vingts,0
10270,neuf cent soixante cinq; huit cents,0
10271,sept cent neuf; quatre cent cinquante six,0
10272,huit cent six; six cent quatre vingt dix huit,0
10273,trois cent cinquante neuf; quatre cent cinquante et un,1
10274,cinq cent neuf; deux cent quatre vingt treize,0
10275,trois cent soixante sept; six cent quarante quatre,1
10276,huit cent quatre vingt deux; cent dix,0
10277,six cent trente sept; trois cent trente cinq,0
10278,huit cent douze; cent dix sept,0
10279,trois cent quarante; deux cent trente neuf,0
10280,sept cent soixante quinze; neuf cent quarante six,1
10281,quatre cent cinquante sept; quatre cent cinquante deux,0
10282,quatre cent quatre vingt trois; huit cent trente quatre,1
10283,trois cent dix sept; cinq cent cinquante cinq,1
10284,six cent cinq; neuf cent quatorze,1
10285,cent neuf; trois cent huit,1
10286,quatre cent quarante cinq; neuf cent quatre vingt un,1
10287,six cent soixante huit; quatre vingt huit,0
10288,cent cinquante; quatre cent vingt quatre,1
10289,sept cent trente six; cinq cent soixante cinq,0
10290,quatre cent dix neuf; six cent quarante neuf,1
10291,neuf cent quatre vingt treize; six cent quatre vingt dix,0
10292,soixante treize; six cent soixante seize,1
10293,trois cent quatre vingt un; six cent quatre vingt trois,1
10294,neuf cent cinquante cinq; neuf cent vingt deux,0
10295,trente cinq; cinq cent quarante et un,1
10296,huit cent cinquante neuf; cinq cent quarante deux,0
10297,quatre cent quatre vingt neuf; cent quarante neuf,0
10298,cinq cent soixante douze; neuf cent cinquante,1
10299,six cent soixante huit; cent soixante dix huit,0
10300,quatre cent soixante; cinq cent soixante quatre,1
10301,neuf cent seize; sept cent trente quatre,0
10302,six cents; soixante sept,0
10303,sept cent vingt et un; trois cent soixante dix huit,0
10304,cinq cent cinquante et un; quarante neuf,0
10305,cinq cent quatre vingt douze; neuf cent quatre vingt quinze,1
10306,deux cent quatre vingt dix neuf; quatre cent quatre vingt treize,1
10307,quatre cent quarante quatre; trois cent dix,0
10308,cinq cent vingt; cinq cent vingt six,1
10309,deux cent deux; sept cent quatre vingt quatre,1
10310,quatre cent soixante douze; sept cent dix huit,1
10311,cinq cent vingt deux; cinq cent quarante cinq,1
10312,cinq cent quatre vingts; cent soixante quatorze,0
10313,trois cent soixante et onze; vingt deux,0
10314,neuf cent quatre vingt dix sept; huit cent cinquante six,0
10315,sept cent quatre vingt deux; trois cent sept,0
10316,neuf cent quatre vingt neuf; cent deux,0
10317,huit cent onze; trois cent seize,0
10318,cinq cent trente sept; six cent soixante quatre,1
10319,neuf cent quarante quatre; cinq cent vingt cinq,0
10320,deux cent quatre vingt dix sept; cinq cent trente huit,1
10321,quarante huit; cent soixante dix huit,1
10322,cent soixante seize; six cent cinquante cinq,1
10323,deux cent quatre vingt huit; cent un,0
10324,vingt neuf; six cent vingt sept,1
10325,sept; sept cent soixante dix sept,1
10326,cinq cent soixante dix; six cent quatre vingt dix sept,1
10327,neuf cent quarante cinq; trois cent quatre vingt trois,0
10328,cent quatre vingt dix huit; six cent vingt huit,1
10329,cinq cent cinquante; cinq cent dix neuf,0
10330,quatre cent quatre vingts; huit cent vingt deux,1
10331,deux cent cinquante deux; huit cent quatre vingt quatorze,1
10332,cinq cent vingt trois; huit cent quarante et un,1
10333,six cent quarante et un; neuf cent sept,1
10334,quatre cent soixante treize; cinq cent cinquante sept,1
10335,quatre cent quatre vingt six; cent quarante deux,0
10336,cent douze; cent trente neuf,1
10337,trois cent soixante six; trois cent quarante trois,0
10338,six cent trente cinq; quatre cent douze,0
10339,cent trente cinq; quatre cent quatre vingts,1
10340,deux cent quatre vingt dix; six cent trente cinq,1
10341,cinq cent trente neuf; six cent quatre vingt dix huit,1
10342,soixante; six cent soixante quatre,1
10343,cinq cent soixante dix sept; quatorze,0
10344,cent vingt quatre; deux cent seize,1
10345,cent quarante trois; neuf cent quatre vingt deux,1
10346,deux cent vingt neuf; cinq cent vingt sept,1
10347,soixante dix sept; cinq cent soixante dix huit,1
10348,trois cent trente neuf; neuf cent vingt,1
10349,cinq cent quarante sept; trois cent quatre vingt onze,0
10350,six cent sept; sept cent soixante quatre,1
10351,cinq cent deux; trois cent trente sept,0
10352,sept cent quatre vingt neuf; quatre cent soixante et onze,0
10353,six cent trente trois; trois cent soixante quatre,0
10354,cinq cent cinquante trois; cinq cent soixante et onze,1
10355,neuf cent soixante deux; cent trente deux,0
10356,deux cent un; neuf cent trente et un,1
10357,neuf cent soixante et onze; soixante dix,0
10358,vingt sept; sept cent deux,1
10359,cinq cent deux; quatre cent vingt huit,0
10360,six cent cinquante trois; huit cent quatre vingt trois,1
10361,sept cent trente deux; cent six,0
10362,cent quatre vingt douze; deux cent vingt six,1
10363,cinq cent soixante dix neuf; trois cent quarante sept,0
10364,quatre cent quatre vingt huit; cinq cent quatre vingt huit,1
10365,deux cent vingt; quatre cent cinquante neuf,1
10366,deux cent soixante quatorze; cinq cent quatre vingt quatorze,1
10367,trois cent quatre vingt dix sept; quatre cent quatre vingt six,1
10368,deux cent cinquante quatre; sept cent soixante sept,1
10369,cinq cent cinq; huit cent quatre vingts,1
10370,six cent dix neuf; deux cent soixante quatorze,0
10371,huit cent cinq; quatre cent soixante quatre,0
10372,cent quarante sept; quatre vingt treize,0
10373,deux cent cinquante quatre; deux cent soixante seize,1
10374,cinq cent soixante dix; cinq cent vingt deux,0
10375,six cent cinquante huit; huit cent quarante sept,1
10376,sept cent soixante dix sept; huit cent quatre vingt huit,1
10377,huit cent quatre vingt quinze; cent quarante six,0
10378,deux cent quarante; cent soixante et onze,0
10379,deux cent quarante quatre; deux cent quatre vingt seize,1
10380,six cent cinquante neuf; sept cent trente et un,1
10381,six cent vingt cinq; deux cent quatre vingt trois,0
10382,deux cent douze; trois cent vingt deux,1
10383,deux cent soixante trois; six cent vingt quatre,1
10384,six cent vingt trois; trois cent vingt huit,0
10385,quatre cent quarante sept; cent trente cinq,0
10386,quatre cent quatre vingt dix neuf; deux cent soixante sept,0
10387,huit cent soixante treize; soixante treize,0
10388,trente et un; trois cent quatorze,1
10389,cinq cent vingt neuf; deux cent trente six,0
10390,deux cent soixante dix huit; quatre cent soixante cinq,1
10391,neuf; cinq cent trente trois,1
10392,soixante quatre; dix,0
10393,neuf cent soixante douze; quatre cent quatre vingt un,0
10394,trois cent soixante trois; sept cent cinquante huit,1
10395,quatre cent soixante sept; cinquante cinq,0
10396,cent trente six; quatre cent soixante huit,1
10397,deux cent quatre vingt quinze; huit cent quatre vingt dix huit,1
10398,six; cent vingt cinq,1
10399,six cent cinquante huit; deux cent quatre vingt onze,0
10400,deux cent quatre vingt deux; huit cent quarante huit,1
10401,cent quatre vingt six; huit cent soixante seize,1
10402,quatre cent quarante six; quatre cent soixante dix neuf,1
10403,sept cent six; deux cent soixante,0
10404,trois cent quarante deux; trois cent cinquante neuf,1
10405,neuf cent soixante dix sept; cinq cent soixante seize,0
10406,sept cent quatre vingt dix sept; sept cent quatre vingt sept,0
10407,quatre vingt dix sept; six,0
10408,huit cent quatre vingt douze; huit cent trente deux,0
10409,trois cent quarante et un; trente sept,0
10410,cinq cent quatre vingt trois; sept cent vingt deux,1
10411,cent quatre; six cent cinquante deux,1
10412,huit cent quatre vingt treize; quatre cent dix neuf,0
10413,trois cent quatre; six cent seize,1
10414,quatre cent quatre vingt neuf; cinq cent trente quatre,1
10415,cinq cent quatre vingt quatre; deux cent quatre vingt seize,0
10416,cent trente deux; neuf cent soixante quatorze,1
10417,six cent quarante et un; dix,0
10418,neuf cent quatre vingt six; trois cent trente trois,0
10419,quatre cent vingt et un; quarante,0
10420,deux cent soixante cinq; huit cent vingt sept,1
10421,trois cent six; six cent quatre vingt quatorze,1
10422,trois cent trois; deux cent quarante,0
10423,trois cent cinquante six; six cent soixante quinze,1
10424,sept cent quatre vingt quatre; neuf cent cinquante sept,1
10425,cinq cent soixante quatre; cinq cent quarante et un,0
10426,quatre cent quatre vingt treize; huit cent vingt quatre,1
10427,huit cent cinquante trois; deux cent soixante et un,0
10428,neuf cent quatre vingt quatorze; vingt cinq,0
10429,six cent trente; huit cent quarante neuf,1
10430,deux cent quatre vingt sept; cinq cent quarante trois,1
10431,cinq cent trente quatre; quatre cent quatre vingt douze,0
10432,quarante quatre; cent vingt deux,1
10433,six cent quatre vingt neuf; quatre vingts,0
10434,cent dix sept; cinq cent quarante trois,1
10435,cinq cent cinq; quatre cent soixante quinze,0
10436,huit cent soixante dix huit; neuf cent soixante seize,1
10437,quatre cent quatre vingt dix; cinq cent dix,1
10438,trois cent quarante six; cinq cent seize,1
10439,cinq cent vingt sept; cent cinquante sept,0
10440,trois cent vingt cinq; cinq cent soixante quinze,1
10441,cinquante; huit cent cinquante cinq,1
10442,cent vingt neuf; soixante quatre,0
10443,six cent onze; quatre cent soixante quatre,0
10444,cinq cent trois; quatre cent dix huit,0
10445,quatre cent dix sept; deux cent vingt neuf,0
10446,trois cent quatre vingt neuf; sept cent soixante trois,1
10447,cinq cent cinq; sept cent trente,1
10448,neuf; neuf cent cinquante huit,1
10449,neuf cent soixante huit; trois cent soixante dix neuf,0
10450,deux cent vingt trois; soixante dix,0
10451,sept cent cinquante et un; deux cent soixante dix,0
10452,sept cent cinquante trois; quatre cent cinquante et un,0
10453,cent trente sept; trois cent trois,1
10454,trente trois; six cent soixante huit,1
10455,huit cent un; quatre vingt trois,0
10456,quatre cent quarante neuf; sept cent deux,1
10457,cinq cent vingt cinq; quatre cent cinquante six,0
10458,deux cent vingt sept; quatre cent vingt quatre,1
10459,six cent trente et un; six cent soixante dix huit,1
10460,quatre cent quatre vingt deux; vingt et un,0
10461,deux cent trente deux; huit cent vingt sept,1
10462,vingt et un; quatre vingt sept,1
10463,trois cent quarante six; six cent quatre vingts,1
10464,quatre cent soixante dix neuf; cinq cent vingt sept,1
10465,quatre cent quatre vingt deux; sept cent cinquante neuf,1
10466,cinq cent trente quatre; cent quatre vingt dix huit,0
10467,six cent soixante quatre; sept cent trente,1
10468,huit cent vingt trois; trois cent soixante dix sept,0
10469,deux cent cinquante six; quatre cent vingt quatre,1
10470,huit cent soixante quinze; sept cent six,0
10471,cinq cent seize; sept cent soixante et onze,1
10472,cinq cent trente; trois cent quatre vingt trois,0
10473,six cent quatre vingt seize; quatre vingt trois,0
10474,cent soixante deux; trois cent quatre vingt seize,1
10475,six cent quatre; sept cent dix,1
10476,six cent quatre vingt quatre; neuf cent cinquante cinq,1
10477,cinq cent quarante; neuf cent vingt et un,1
10478,deux cent quarante neuf; deux cent soixante dix neuf,1
10479,trois cent trente deux; cent dix neuf,0
10480,cent quarante quatre; trois cent vingt quatre,1
10481,quatre cent trente quatre; six cent seize,1
10482,cent quatre vingt quatre; neuf cent douze,1
10483,cent vingt deux; cinq cent quarante quatre,1
10484,quatre vingt neuf; sept cent quatre vingt seize,1
10485,huit cent quatre; cent cinquante,0
10486,sept cent douze; sept cent soixante douze,1
10487,six cent quarante trois; cinq cent quatre vingt cinq,0
10488,quatre vingt treize; cinq cent quatre vingt quatorze,1
10489,sept cent vingt six; six cent trente quatre,0
10490,quatre cent soixante quatorze; huit cent soixante cinq,1
10491,cent soixante deux; huit cent dix huit,1
10492,neuf cent cinquante; huit cent cinquante cinq,0
10493,sept cent trente huit; six cent cinquante et un,0
10494,cinq cent quatre vingt quatorze; quatre cent soixante neuf,0
10495,six cent quatre vingt dix neuf; sept cent dix,1
10496,soixante; huit cent vingt et un,1
10497,cent quatre vingt deux; deux cent vingt six,1
10498,vingt; cinq cent quarante cinq,1
10499,cent trois; cent trente deux,1
10500,quatre vingt six; cent soixante dix neuf,1
10501,cinq cent neuf; sept cent soixante et un,1
10502,neuf cent deux; trois cent dix sept,0
10503,cinq cent quatre vingt deux; neuf cent soixante dix,1
10504,deux cent douze; deux cent quatorze,1
10505,sept cent quatre vingt sept; trois cent trente huit,0
10506,sept cent quatre vingt quatorze; cent six,0
10507,trois cent soixante quatorze; huit cent cinquante deux,1
10508,trois cent trente neuf; six cent trente,1
10509,cent cinquante neuf; neuf cent huit,1
10510,cent quatre vingt deux; huit cent cinquante quatre,1
10511,neuf cent vingt cinq; sept cent quarante cinq,0
10512,six cent trente cinq; cent quatre vingt quinze,0
10513,deux cent quatre; huit cent quarante et un,1
10514,vingt et un; six cent vingt six,1
10515,trente cinq; six cent quarante quatre,1
10516,trois cent huit; deux cent quinze,0
10517,neuf cent soixante deux; deux cent sept,0
10518,huit cent six; cent quatre vingt dix huit,0
10519,six cent cinquante sept; trois cent treize,0
10520,cinquante quatre; quatre cent quatre vingt quinze,1
10521,cent trois; cent soixante cinq,1
10522,cent cinquante quatre; cinq cent vingt trois,1
10523,vingt six; soixante dix,1
10524,soixante seize; quatre cent dix sept,1
10525,sept cent soixante dix huit; cinq cent soixante douze,0
10526,quarante quatre; deux cent quatre vingt un,1
10527,quatre cents; neuf cent trente sept,1
10528,huit cent vingt; trois cent quatre,0
10529,sept cent vingt; soixante neuf,0
10530,trois cent soixante et un; huit cent trente et un,1
10531,neuf cent soixante seize; sept cent trente deux,0
10532,quatre cent trente quatre; neuf cent soixante dix sept,1
10533,cinq cent dix; deux cent trente,0
10534,quatre cent soixante cinq; cent vingt quatre,0
10535,trente deux; sept cent trente,1
10536,cent vingt cinq; quatre cent dix neuf,1
10537,sept cent trente cinq; six cent soixante huit,0
10538,huit cent vingt six; quatre cent seize,0
10539,quatre cent soixante et onze; sept cent onze,1
10540,huit cent vingt et un; six cent cinquante et un,0
10541,trois cent quatre; cent soixante quinze,0
10542,quatre cent cinquante trois; deux cent soixante quatorze,0
10543,quatre cents; cinq cent soixante sept,1
10544,quatre vingt six; quatre cent sept,1
10545,trois cent soixante quinze; trente trois,0
10546,cent soixante dix huit; huit cent trente six,1
10547,huit cent quarante six; huit cent soixante et un,1
10548,cinq cent seize; cinq cent quatre vingt quinze,1
10549,treize; cinq cent soixante treize,1
10550,cinq cent soixante dix neuf; trois cent trente quatre,0
10551,six cent cinquante neuf; cinquante quatre,0
10552,quatre cent soixante deux; cent trente quatre,0
10553,neuf cent quarante et un; soixante deux,0
10554,quatre vingt dix; neuf cent soixante trois,1
10555,trente sept; neuf cent cinquante cinq,1
10556,six cent vingt quatre; neuf cent trente six,1
10557,deux cent cinquante trois; sept cent six,1
10558,vingt deux; deux cent onze,1
10559,cinquante quatre; trois cent trente,1
10560,cent dix neuf; quatre vingt quatorze,0
10561,neuf cent quatre vingt dix huit; trois cent quatre vingt huit,0
10562,deux cent quarante sept; quatre vingt quatorze,0
10563,huit cent trente sept; neuf cent soixante six,1
10564,huit cent trente et un; cent soixante huit,0
10565,neuf cent quatre vingt cinq; quatre cent quatre vingt dix huit,0
10566,six cent vingt cinq; sept cent cinquante,1
10567,soixante dix sept; huit cent vingt six,1
10568,six cent cinquante et un; neuf cent trente six,1
10569,neuf cent quatre vingt dix neuf; trois cent quatre vingt seize,0
10570,cent quatre; deux cent dix huit,1
10571,deux cent quatre vingt treize; deux cent soixante dix huit,0
10572,neuf cent trente neuf; sept cent soixante six,0
10573,trois cent soixante et onze; six cent soixante trois,1
10574,trois cent quatre vingt dix; six cent dix sept,1
10575,six cent un; sept cent quatre vingt deux,1
10576,neuf cent quatre vingt onze; sept cent soixante sept,0
10577,deux cent quarante quatre; quatre cent un,1
10578,huit cent dix huit; quatorze,0
10579,deux cent deux; neuf cent trente,1
10580,six cent cinquante sept; neuf cent quarante cinq,1
10581,deux cent cinquante et un; cent vingt six,0
10582,trois cent quinze; six cent quatre,1
10583,cent dix sept; neuf cent soixante douze,1
10584,quatre cent trente neuf; deux cent vingt cinq,0
10585,neuf cent cinquante six; deux cent soixante sept,0
10586,trois cent cinquante neuf; neuf cent quatre vingt quatre,1
10587,quatre cent quatre vingt treize; quatre vingt quatorze,0
10588,trois cent vingt sept; cinq cent trente quatre,1
10589,quatre cent quatre vingt dix neuf; trois cent quarante six,0
10590,cent quatre vingt dix sept; huit cent quatre,1
10591,deux cent quatre vingt dix neuf; cinq cent dix huit,1
10592,deux cent trente et un; six cent quatre vingt trois,1
10593,cinq cent cinquante et un; deux cent soixante sept,0
10594,neuf cent trente huit; quatre cent quatre vingt quatorze,0
10595,quatre cents; six cent cinquante six,1
10596,deux cent dix sept; sept cent soixante neuf,1
10597,sept cent cinquante; cent vingt sept,0
10598,vingt trois; six cent soixante seize,1
10599,quatre vingt quinze; deux cent onze,1
10600,cinquante sept; quatre vingt trois,1
10601,neuf cent vingt trois; deux cent trente neuf,0
10602,six cent soixante cinq; deux cent quatre vingt onze,0
10603,cent soixante quatre; quatre cent dix,1
10604,deux cent seize; huit cent vingt,1
10605,neuf cent quatre vingt douze; sept cent quarante neuf,0
10606,trois cent quatre vingts; neuf cent deux,1
10607,sept cent quatre vingt seize; trois cent soixante dix,0
10608,quatre cent cinquante six; trois cent vingt trois,0
10609,sept cent trois; trois cent quarante et un,0
10610,deux cent vingt six; neuf cent quatre vingt onze,1
10611,deux cent trente six; huit cent quatorze,1
10612,huit cent quarante cinq; quatre cent cinquante cinq,0
10613,neuf cent quarante; trois cent quarante trois,0
10614,deux cent dix neuf; sept cent treize,1
10615,huit cents; cent vingt deux,0
10616,soixante dix; deux cent quatre vingt sept,1
10617,deux cent un; cinq cent quatre vingt dix neuf,1
10618,huit cent cinquante sept; huit cent six,0
10619,soixante deux; huit cent quatre vingt huit,1
10620,deux cent soixante cinq; sept cent quatre vingt dix huit,1
10621,quatre cent trente et un; sept cent trente deux,1
10622,neuf cent seize; trois cent cinq,0
10623,neuf cent trente sept; cent cinq,0
10624,quatre cent quatre vingt dix neuf; huit cent sept,1
10625,huit cent treize; quatre cent soixante deux,0
10626,trois cent quatre vingt cinq; neuf cent soixante neuf,1
10627,cent quatre vingt dix neuf; six cent neuf,1
10628,neuf cent treize; huit cent un,0
10629,cinq cent quatre vingt onze; soixante dix sept,0
10630,quatre vingt un; cinq cent quatre vingt neuf,1
10631,deux cent six; deux cent quarante six,1
10632,cent dix sept; neuf cent six,1
10633,sept; neuf cent vingt,1
10634,trois cent quatre vingt quinze; sept cent quatre vingt quatorze,1
